person,genderLabel,personLabel,birthDate,placeBirthLabel,description
http://www.wikidata.org/entity/Q5973254,masculino,Leonardo de la Peña Díaz,1875-09-06T00:00:00Z,Ciudad Real (ciudad),cirujano español
http://www.wikidata.org/entity/Q26421088,masculino,Javier Alberola Rojas,1991-06-22T00:00:00Z,Ciudad Real (ciudad),Árbitro de fútbol español
http://www.wikidata.org/entity/Q55873286,masculino,Ramón Porgueres Hernández,1928-02-01T00:00:00Z,Ciudad Real (ciudad),militar español
http://www.wikidata.org/entity/Q5973380,femenino,Leonor Serrano Pablo,1890-02-22T00:00:00Z,Hinojosas de Calatrava,escritora abogada y jurista española (1890-1942)
http://www.wikidata.org/entity/Q5983054,masculino,Luis Casimiro,1960-06-21T00:00:00Z,Villamayor de Calatrava,entrenador de baloncesto español
http://www.wikidata.org/entity/Q21479968,masculino,Antonio Espinosa Cerrato,1959-01-01T00:00:00Z,Villamayor de Calatrava,político español
http://www.wikidata.org/entity/Q51765812,masculino,Eulogio Paz Fernández,1952-05-15T00:00:00Z,Fernán Caballero,activista español
http://www.wikidata.org/entity/Q26430790,masculino,Valentín Pizarro Gómez,1981-08-14T00:00:00Z,Ciudad Real,Árbitro de fútbol español
http://www.wikidata.org/entity/Q27755769,femenino,Carmen Quintanilla,1954-05-11T00:00:00Z,Ciudad Real,política española
"http://www.wikidata.org/entity/Q32442,masculino,Ángel Ayala,1867-03-01T00:00:00Z,Ciudad Real,""clérigo jesuita, pedagogo y propagandista católico español"""
http://www.wikidata.org/entity/Q352515,masculino,José Castillejo,1877-01-01T00:00:00Z,Ciudad Real,jurista español
http://www.wikidata.org/entity/Q469488,masculino,Manuel Marín,1949-10-21T00:00:00Z,Ciudad Real,político español
http://www.wikidata.org/entity/Q531056,masculino,Alonso de Estrada,1470-01-01T00:00:00Z,Ciudad Real,tesorero y gobernador castellano. Hijo natural de Fernando el Católico
"http://www.wikidata.org/entity/Q1690876,masculino,Joaquín Araujo Ruano,1851-01-01T00:00:00Z,Ciudad Real,""pintor, grabador e ilustrador español"""
http://www.wikidata.org/entity/Q2302557,masculino,Diego Rivas,1980-04-27T00:00:00Z,Ciudad Real,futbolista español
http://www.wikidata.org/entity/Q2369298,masculino,Emilio González Ferrín,1965-01-01T00:00:00Z,Ciudad Real,islamólogo y profesor universitario español
http://www.wikidata.org/entity/Q2635066,masculino,Tomás Pina Isla,1987-10-14T00:00:00Z,Ciudad Real,futbolista español
http://www.wikidata.org/entity/Q552502,masculino,Fernando Luna,1958-04-24T00:00:00Z,Ciudad Real,tenista español
http://www.wikidata.org/entity/Q704678,masculino,García Jofre de Loaísa,1490-01-01T00:00:00Z,Ciudad Real,explorador español
http://www.wikidata.org/entity/Q748382,masculino,Nano Rivas,1980-07-07T00:00:00Z,Ciudad Real,futbolista español
http://www.wikidata.org/entity/Q1026826,masculino,Ángel Crespo,1926-07-18T00:00:00Z,Ciudad Real,poeta español
http://www.wikidata.org/entity/Q1688370,masculino,Jesús Ramírez,1979-10-25T00:00:00Z,Ciudad Real,ciclista español
http://www.wikidata.org/entity/Q3356993,masculino,Oscar Herrero,1959-03-01T00:00:00Z,Ciudad Real,músico español
http://www.wikidata.org/entity/Q3442092,femenino,Rosa Romero,1970-02-14T00:00:00Z,Ciudad Real,política española
http://www.wikidata.org/entity/Q3697736,masculino,Cristóbal de Mena,1492-01-01T00:00:00Z,Ciudad Real,conquistador español
http://www.wikidata.org/entity/Q3817786,masculino,Rafael García García,1986-01-14T00:00:00Z,Ciudad Real,futbolista español
http://www.wikidata.org/entity/Q2887796,masculino,Alonso de Ávila,1486-01-01T00:00:00Z,Ciudad Real,Explorador y conquistador español
http://www.wikidata.org/entity/Q2919382,masculino,Juan de Molina,1485-01-01T00:00:00Z,Ciudad Real,Humanista y traductor español
http://www.wikidata.org/entity/Q2978897,femenino,Clementina Díez de Baldeón,1953-03-15T00:00:00Z,Ciudad Real,política y profesora universitaria española
http://www.wikidata.org/entity/Q3163137,masculino,Javier Botet,1977-07-30T00:00:00Z,Ciudad Real,actor español
http://www.wikidata.org/entity/Q5859311,masculino,Fernando Calatayud Cáceres,1927-01-01T00:00:00Z,Ciudad Real,escritor español
"http://www.wikidata.org/entity/Q5864996,masculino,Francisco Aguilera y Egea,1857-03-31T00:00:00Z,Ciudad Real,""Ciudad Real, 21.XII.1857 – Madrid, 20.V.1931. Capitán general del Ejército, ministro de la Guerra, senador vitalicio"""
http://www.wikidata.org/entity/Q5938944,masculino,José Cepeda,1968-07-19T00:00:00Z,Ciudad Real,político español
http://www.wikidata.org/entity/Q5942972,masculino,José María González Ortega,1958-01-01T00:00:00Z,Ciudad Real,poeta español
http://www.wikidata.org/entity/Q5943162,masculino,José María Martínez-Val,1951-01-01T00:00:00Z,Ciudad Real,ingeniero industrial español
http://www.wikidata.org/entity/Q5945824,masculino,José Tomás Reina Rincón,1979-09-21T00:00:00Z,Ciudad Real,torero español
http://www.wikidata.org/entity/Q118136736,femenino,Isabel Perillán y Quirós,,Campo de Criptana,poetisa española
http://www.wikidata.org/entity/Q122389833,masculino,Francisco Quintanar Gutiérrez,1958-07-22T00:00:00Z,Campo de Criptana,Informador y director de programas de televisión español
http://www.wikidata.org/entity/Q4448360,masculino,Antonio de Ciudad Real,1551-01-01T00:00:00Z,Ciudad Real,fraile franciscano español
http://www.wikidata.org/entity/Q5438664,masculino,Manuel García Miralles,1918-01-01T00:00:00Z,Ciudad Real,escritor español
"http://www.wikidata.org/entity/Q5495690,masculino,Diego Medrano y Treviño,1784-11-13T00:00:00Z,Ciudad Real,""Militar, político y ensayista español (1784-1853)"""
http://www.wikidata.org/entity/Q5557327,masculino,Fernando Moraleda Quílez,1956-01-01T00:00:00Z,Ciudad Real,Sindicalista y político español.
http://www.wikidata.org/entity/Q5667206,masculino,Alfonso Sánchez García,1880-02-21T00:00:00Z,Ciudad Real,fotógrafo español
http://www.wikidata.org/entity/Q5949813,masculino,Juan Gracia,1966-01-01T00:00:00Z,Ciudad Real,escritor
http://www.wikidata.org/entity/Q5979097,masculino,Lorenzo Selas Céspedes,1938-01-12T00:00:00Z,Ciudad Real,político español
http://www.wikidata.org/entity/Q5992046,masculino,Manuel Adame,1780-05-06T00:00:00Z,Ciudad Real,militar español
http://www.wikidata.org/entity/Q5992839,masculino,Manuel Espadas Burgos,1936-03-02T00:00:00Z,Ciudad Real,historiador español
http://www.wikidata.org/entity/Q389756,masculino,Isidoro Diéguez Dueñas,1909-01-12T00:00:00Z,Puertollano,político español
http://www.wikidata.org/entity/Q605230,masculino,José López-Maeso,1956-12-24T00:00:00Z,Puertollano,tenista profesional español
http://www.wikidata.org/entity/Q736915,masculino,Alberto Rivera Pizarro,1978-02-16T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q940605,masculino,Carlos Zárate Fernández,1980-07-19T00:00:00Z,Puertollano,ciclista español
http://www.wikidata.org/entity/Q13424880,masculino,Carmelo Garrido Alarcón,1971-09-12T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q16298883,masculino,Teófilo Dueñas,1946-08-11T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q16565923,masculino,Fabián Muñoz Fernández,1948-01-27T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q18719958,femenino,María Dolores Sánchez López,1958-03-08T00:00:00Z,Puertollano,política española
http://www.wikidata.org/entity/Q5698044,masculino,Antonio Cervera de la Torre,1600-01-01T00:00:00Z,Ciudad Real,historiador español
http://www.wikidata.org/entity/Q5750716,masculino,Carlos Lemos,1909-06-11T00:00:00Z,Ciudad Real,actor español
http://www.wikidata.org/entity/Q5751687,masculino,Carlos Saiz Cidoncha,1939-02-13T00:00:00Z,Ciudad Real,escritor español (1939-)
http://www.wikidata.org/entity/Q5752116,masculino,Carlos Vázquez Úbeda,1869-12-31T00:00:00Z,Ciudad Real,pintor e ilustrador español (1869-1944)
http://www.wikidata.org/entity/Q5831259,masculino,Emilio Ontiveros Baeza,1948-07-09T00:00:00Z,Ciudad Real,economista español
http://www.wikidata.org/entity/Q1708971,masculino,José Antonio Redondo Ramos,1985-03-05T00:00:00Z,Alcázar de San Juan,ciclista español
http://www.wikidata.org/entity/Q2350357,masculino,Antonio Díaz-Miguel,1934-07-02T00:00:00Z,Alcázar de San Juan,baloncestista español
http://www.wikidata.org/entity/Q2397249,masculino,Jesús Manzaneque,1943-01-01T00:00:00Z,Campo de Criptana,Ciclista español
http://www.wikidata.org/entity/Q2427394,masculino,Manuel Sanroma,1977-05-09T00:00:00Z,Almagro,ciclista español
http://www.wikidata.org/entity/Q2469083,masculino,Felipe Yáñez,1953-01-21T00:00:00Z,Cózar,ciclista español
http://www.wikidata.org/entity/Q6097239,masculino,Rafael Díaz-Salazar,1956-01-01T00:00:00Z,Ciudad Real,sociólogo español
http://www.wikidata.org/entity/Q6170200,femenino,Yola Berrocal,1970-09-15T00:00:00Z,Ciudad Real,personalidad mediática española (n. 1970)
http://www.wikidata.org/entity/Q6173045,masculino,Ángel Andrade,1866-03-15T00:00:00Z,Ciudad Real,pintor español
http://www.wikidata.org/entity/Q6173045,masculino,Ángel Andrade,1866-05-15T00:00:00Z,Ciudad Real,pintor español
http://www.wikidata.org/entity/Q6292505,masculino,José Ignacio Hualde,1958-01-01T00:00:00Z,Ciudad Real,lingüista español
http://www.wikidata.org/entity/Q6300392,masculino,Juan Manuel Rozas,1936-01-01T00:00:00Z,Ciudad Real,escritor español
http://www.wikidata.org/entity/Q2423760,femenino,Cristina García Rodero,1949-10-14T00:00:00Z,Puertollano,fotógrafa española
http://www.wikidata.org/entity/Q2834870,masculino,Alfonso Limón Montero,1628-01-01T00:00:00Z,Puertollano,médico español
http://www.wikidata.org/entity/Q3776548,masculino,José Antonio Culebras,1979-01-16T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q5659635,masculino,Agapito Maestre Sánchez,1954-01-01T00:00:00Z,Puertollano,escritor y filósofo español
http://www.wikidata.org/entity/Q5667712,masculino,Alfredo Galán Sotillo,1978-04-05T00:00:00Z,Puertollano,asesino en serie español
http://www.wikidata.org/entity/Q5854168,masculino,Tomás Fernando Flores,1961-05-30T00:00:00Z,Puertollano,periodista y crítico musical español
http://www.wikidata.org/entity/Q2842205,masculino,Juan José Muñoz de Madariaga,1846-05-16T00:00:00Z,Almadén,Ingeniero de Montes
http://www.wikidata.org/entity/Q2857386,masculino,Antonio Palomares,1929-08-07T00:00:00Z,El Robledo,político español
http://www.wikidata.org/entity/Q2882729,masculino,Miguel Barroso,1538-01-01T00:00:00Z,Alcázar de San Juan,artista español
http://www.wikidata.org/entity/Q2893021,femenino,Beatriz Montañez,1977-06-03T00:00:00Z,Almadén,presentadora de televisión y periodista española
http://www.wikidata.org/entity/Q3012020,masculino,Vicente Paniagua,1947-05-21T00:00:00Z,Alcázar de San Juan,baloncestista español
http://www.wikidata.org/entity/Q6003643,femenino,María Dueñas,1964-01-01T00:00:00Z,Puertollano,escritora española
http://www.wikidata.org/entity/Q6173559,masculino,Ángel Viveros Gutiérrez,1959-01-01T00:00:00Z,Puertollano,político español
http://www.wikidata.org/entity/Q6700638,masculino,Luis García Mozos,1946-01-01T00:00:00Z,Puertollano,historietista español
http://www.wikidata.org/entity/Q8076852,masculino,Ángel Luis Fernández Serrano,1970-02-26T00:00:00Z,Puertollano,futbolista español
http://www.wikidata.org/entity/Q11935262,masculino,Marcelo Expósito,1966-05-29T00:00:00Z,Puertollano,político español
http://www.wikidata.org/entity/Q20747608,masculino,Manuel Doreste,1958-01-01T00:00:00Z,Puertollano,regatista español
http://www.wikidata.org/entity/Q20995267,masculino,Manuel Juliá Dorado,1954-10-16T00:00:00Z,Puertollano,escritor y periodista español
http://www.wikidata.org/entity/Q27916802,masculino,Marcos Jurado,1991-02-02T00:00:00Z,Ciudad Real,ciclista español
http://www.wikidata.org/entity/Q27999253,femenino,María Teresa Arévalo Caraballo,1980-10-27T00:00:00Z,Ciudad Real,política española
"http://www.wikidata.org/entity/Q28124043,masculino,José Núñez de Arenas,1784-07-03T00:00:00Z,Ciudad Real,""político, militar y matemático español"""
http://www.wikidata.org/entity/Q28503315,masculino,Francisco Mena Cantero,1934-01-01T00:00:00Z,Ciudad Real,escritor español
http://www.wikidata.org/entity/Q793631,masculino,Bernardo de Balbuena,1568-01-01T00:00:00Z,Valdepeñas,Poeta y eclesiástico novohispano
http://www.wikidata.org/entity/Q793631,masculino,Bernardo de Balbuena,1568-11-30T00:00:00Z,Valdepeñas,Poeta y eclesiástico novohispano
http://www.wikidata.org/entity/Q924122,masculino,Jesús Julián Lucendo,1970-04-19T00:00:00Z,Pedro Muñoz,futbolista español
http://www.wikidata.org/entity/Q1257924,masculino,Antonio López García,1936-01-06T00:00:00Z,Tomelloso,pintor y escultor español
http://www.wikidata.org/entity/Q112265250,masculino,Paco Ortiz,1933-06-28T00:00:00Z,Valdepeñas,locutor deportivo de Radio Zaragoza
http://www.wikidata.org/entity/Q115409114,femenino,Isabel Valdés,1985-01-01T00:00:00Z,Calzada de Calatrava,periodista española especializada en género y feminismo
http://www.wikidata.org/entity/Q6680792,masculino,Lorenzo Palomo,1938-03-10T00:00:00Z,Ciudad Real,compositor español
